SMF0001;iPhone 12;SMF;799.00;8;10;Powerful and stylish smartphone with advanced features.
SMF0002;Samsung Galaxy S21;SMF;899.00;8;10;High-performance smartphone with a stunning display.
SMF0003;Google Pixel 5;SMF;699.00;8;10;Flagship smartphone with a top-notch camera system.
SMF0004;iPhone SE;SMF;399.00;8;10;Compact and affordable iPhone with impressive performance.
SMF0005;OnePlus 9 Pro;SMF;999.00;8;10;Premium Android smartphone with a smooth user experience.
TVS0001;LG OLED CX Series;TVS;1499.00;10;5;High-quality OLED TVS with vivid colors and deep blacks.
TVS0002;Sony X900H;TVS;1299.00;10;5;4K HDR TVS with impressive picture quality and smart features.
TVS0003;Samsung Q90T;TVS;1599.00;10;5;QLED TVS with exceptional brightness and immersive viewing experience.
TVS0004;TCL 6-Series;TVS;799.00;10;5;Affordable 4K TVS with excellent picture performance and Roku platform.
TVS0005;Vizio M-Series;TVS;699.00;10;5;Smart TVS with a modern design and vibrant visuals.
NTB0001;Dell XPS 15;NTB;1699.00;15;8;Powerful and sleek laptop for productivity and multimedia tasks.
NTB0002;Apple MacBook Pro;NTB;1999.00;15;8;High-performance MacBook with a stunning Retina display.
NTB0003;Lenovo ThinkPad X1 Carbon;NTB;1399.00;15;8;Business laptop with durability and security features.
NTB0004;HP Spectre x360;NTB;1299.00;15;8;Convertible laptop with a touch display and long battery life.
NTB0005;Asus ZenBook 14;NTB;999.00;15;8;Ultra-slim laptop with a powerful processor and premium design.
TAB0001;iPad Air;TAB;599.00;12;12;Versatile tablet with a large display and Apple Pencil support.
TAB0002;Samsung Galaxy Tab S7;TAB;699.00;12;12;Android tablet with a stunning AMOLED display and S Pen.
TAB0003;Microsoft Surface Pro 7;TAB;899.00;12;12;2-in-1 tablet with a detachable keyboard and Windows 10.
TAB0004;Amazon Fire HD 10;TAB;149.00;12;12;Affordable tablet with a vibrant display and ACSess to Amazon services.
TAB0005;Lenovo Tab M10 Plus;TAB;249.00;12;12;Family-friendly tablet with dual speakers and a kid's mode.
HLT0001;Fitbit Charge 4;HLT;129.00;20;15;Advanced fitness tracker with built-in GPS and heart rate monitoring.
HLT0002;NordicTrack T Series Treadmill;HLT;999.00;20;15;High-quality treadmill for home workouts with adjustable incline.
HLT0003;Bowflex Adjustable Dumbbells;HLT;399.00;20;15;Space-saving dumbbells with adjustable weight for versatile strength training.
HLT0004;Yoga Mat;HLT;29.00;20;15;Comfortable and durable mat for yoga and exercise routines.
HLT0005;Resistance Bands Set;HLT;19.00;20;15;Versatile set of resistance bands for strength and mobility workouts.
ACS0001;Wireless Earbuds;ACS;99.00;25;20;True wireless earbuds with noise cancellation and long battery life.
ACS0002;Phone Stand;ACS;25.00;25;20;Foldable and portable stand for holding smartphones and tablets.
ACS0003;Portable Charger;ACS;39.00;25;20;Compact and high-capacity power bank for charging devices on the go.
ACS0004;Bluetooth Speaker;ACS;59.00;25;20;Portable speaker with premium sound quality and wireless connectivity.
ACS0005;Car Phone Mount;ACS;19.00;25;20;Sturdy and adjustable mount for securely holding smartphones in the car.
WCS0001;Apple Watch Series 6;WCS;399.00;30;10;"Advanced smartwatch with fitness tracking, ECG, and always-on display."
WCS0002;Samsung Galaxy Watch Active2;WCS;249.00;30;10;Stylish smartwatch with health monitoring and built-in GPS.
WCS0003;Fitbit Versa 3;WCS;229.00;30;10;Versatile smartwatch with built-in GPS and voice assistant.
WCS0004;Garmin Fenix 6;WCS;599.00;30;10;Premium multisport GPS watch with rugged construction and advanced features.
WCS0005;Fossil Gen 5 Carlyle;WCS;279.00;30;10;Classic and elegant smartwatch with Wear OS by Google.
BAG0001;Leather Messenger Bag;BAG;149.00;35;10;Stylish and spacious messenger bag made from genuine leather.
BAG0002;Backpack;BAG;79.00;35;10;Durable and versatile backpack with multiple compartments for organization.
BAG0003;Tote Bag;BAG;39.00;35;10;Fashionable and functional tote bag for everyday use or shopping trips.
BAG0004;Travel Duffel Bag;BAG;99.00;35;10;Roomy duffel bag with multiple pockets and a sturdy construction for travel.
BAG0005;Laptop Sleeve;BAG;29.00;35;10;Protective sleeve for laptops or tablets with a slim and lightweight design.
GLS0001;Polarized Sunglasses;GLS;79.00;40;8;Classic and stylish sunglasses with UV protection and glare reduction.
GLS0002;Blue Light Blocking Glasses;GLS;49.00;40;8;Eyewear designed to filter out harmful blue light from digital screens.
GLS0003;Sport Sunglasses;GLS;99.00;40;8;Durable and lightweight sunglasses for sports and outdoor activities.
GLS0004;Reading Glasses;GLS;19.00;40;8;Optical-quality reading glasses available in various diopter strengths.
GLS0005;Fashionable Eyeglasses;GLS;69.00;40;8;Trendy eyeglass frames suitable for prescription lenses or fashion wear.
BLT0001;Leather Belt;BLT;49.00;45;15;Genuine leather belt with a classic design and adjustable fit.
BLT0002;Canvas Belt;BLT;29.00;45;15;Casual and versatile belt made from durable canvas material.
BLT0003;Woven Belt;BLT;39.00;45;15;"Stylish belt with a woven pattern, ideal for adding a touch of flair to outfits."
BLT0004;Reversible Belt;BLT;59.00;45;15;"Two-in-one belt with a reversible buckle, offering versatility and convenience."
BLT0005;Elastic Belt;BLT;19.00;45;15;Comfortable and stretchable belt for a secure and flexible fit.
